Date,Customer,Job #_y,Item_y,AQL Shift,Inspection Station (Gluer),Total Pieces,Defect Code,Defect Description,Defective Samples,Total Samples,Total Estimated Defective,Department of Origin,Machine of Origin
,,401181,765.0,,,,,,,,0.0,,
,,401054,765.0,,,,,,,,0.0,,
,,401338,765.0,,,,,,,,0.0,,
,,401532,765.0,,,,,,,,0.0,,
,,410247,765.0,,,,,,,,0.0,,
,,410529,765.0,,,,,,,,0.0,,
,,410801,765.0,,,,,,,,0.0,,
,,410812,765.0,,,,,,,,0.0,,
,,410824,765.0,,,,,,,,0.0,,
,,410825,765.0,,,,,,,,0.0,,
,,411268,765.0,,,,,,,,0.0,,
,,411615,765.0,,,,,,,,0.0,,
,,420999,765.0,,,,,,,,0.0,,
,,401531,775.0,,,,,,,,0.0,,
,,401896,775.0,,,,,,,,0.0,,
,,410104,775.0,,,,,,,,0.0,,
,,410685,775.0,,,,,,,,0.0,,
,,410964,775.0,,,,,,,,0.0,,
,,411467,775.0,,,,,,,,0.0,,
,,412283,775.0,,,,,,,,0.0,,
,,412484,775.0,,,,,,,,0.0,,
,,412520,775.0,,,,,,,,0.0,,
,,420335,775.0,,,,,,,,0.0,,
,,420553,775.0,,,,,,,,0.0,,
,,402149,785.0,,,,,,,,0.0,,
,,410172,785.0,,,,,,,,0.0,,
,,410348,785.0,,,,,,,,0.0,,
,,410689,785.0,,,,,,,,0.0,,
,,411905,785.0,,,,,,,,0.0,,
,,412289,785.0,,,,,,,,0.0,,
,,412490,785.0,,,,,,,,0.0,,
,,412526,785.0,,,,,,,,0.0,,
,,420246,785.0,,,,,,,,0.0,,
,,420559,785.0,,,,,,,,0.0,,
,,420342,785.0,,,,,,,,0.0,,
,,420575,785.0,,,,,,,,0.0,,
,,421325,787.0,,,,,,,,0.0,,
,,401897,789.0,,,,,,,,0.0,,
,,410528,789.0,,,,,,,,0.0,,
,,410964,789.0,,,,,,,,0.0,,
,,411267,789.0,,,,,,,,0.0,,
,,411467,789.0,,,,,,,,0.0,,
,,420247,789.0,,,,,,,,0.0,,
,,401201,794.0,,,,,,,,0.0,,
,,401056,807.0,,,,,,,,0.0,,
,,401181,807.0,,,,,,,,0.0,,
,,401340,807.0,,,,,,,,0.0,,
,,401530,807.0,,,,,,,,0.0,,
,,401899,807.0,,,,,,,,0.0,,
,,402153,807.0,,,,,,,,0.0,,
,,410108,807.0,,,,,,,,0.0,,
,,410248,807.0,,,,,,,,0.0,,
,,410345,807.0,,,,,,,,0.0,,
,,410844,807.0,,,,,,,,0.0,,
,,410963,807.0,,,,,,,,0.0,,
,,411466,807.0,,,,,,,,0.0,,
,,411909,807.0,,,,,,,,0.0,,
,,412288,807.0,,,,,,,,0.0,,
,,412489,807.0,,,,,,,,0.0,,
,,412525,807.0,,,,,,,,0.0,,
,,420341,807.0,,,,,,,,0.0,,
,,420558,807.0,,,,,,,,0.0,,
,,401159,810.0,,,,,,,,0.0,,
,,401929,810.0,,,,,,,,0.0,,
,,402086,810.0,,,,,,,,0.0,,
,,401159,811.0,,,,,,,,0.0,,
,,401929,811.0,,,,,,,,0.0,,
,,401516,968.0,,,,,,,,0.0,,
,,410170,968.0,,,,,,,,0.0,,
,,412035,968.0,,,,,,,,0.0,,
,,412164,968.0,,,,,,,,0.0,,
,,401517,972.0,,,,,,,,0.0,,
,,412060,972.0,,,,,,,,0.0,,
,,401517,973.0,,,,,,,,0.0,,
,,410090,985.0,,,,,,,,0.0,,
,,411625,985.0,,,,,,,,0.0,,
,,421204,985.0,,,,,,,,0.0,,
,,401987,1109.0,,,,,,,,0.0,,
,,401987,1111.0,,,,,,,,0.0,,
,,401987,1112.0,,,,,,,,0.0,,
,,401987,1113.0,,,,,,,,0.0,,
,,401987,1114.0,,,,,,,,0.0,,
,,401987,1115.0,,,,,,,,0.0,,
,,402024,1127.0,,,,,,,,0.0,,
,,402024,1130.0,,,,,,,,0.0,,
,,410090,1147.0,,,,,,,,0.0,,
,,411625,1147.0,,,,,,,,0.0,,
,,421204,1147.0,,,,,,,,0.0,,
,,401195,1158.0,,,,,,,,0.0,,
,,401335,1158.0,,,,,,,,0.0,,
,,401665,1158.0,,,,,,,,0.0,,
,,401908,1158.0,,,,,,,,0.0,,
,,410160,1158.0,,,,,,,,0.0,,
,,401244,1161.0,,,,,,,,0.0,,
,,401167,1161.0,,,,,,,,0.0,,
,,401518,1161.0,,,,,,,,0.0,,
,,401167,1162.0,,,,,,,,0.0,,
,,401187,1175.0,,,,,,,,0.0,,
,,401553,1175.0,,,,,,,,0.0,,
,,402148,1175.0,,,,,,,,0.0,,
,,410099,1175.0,,,,,,,,0.0,,
,,410524,1175.0,,,,,,,,0.0,,
,,410687,1175.0,,,,,,,,0.0,,
,,410796,1175.0,,,,,,,,0.0,,
,,410807,1175.0,,,,,,,,0.0,,
,,410819,1175.0,,,,,,,,0.0,,
,,410969,1175.0,,,,,,,,0.0,,
,,411263,1175.0,,,,,,,,0.0,,
,,411471,1175.0,,,,,,,,0.0,,
,,412631,1175.0,,,,,,,,0.0,,
,,420573,1175.0,,,,,,,,0.0,,
,,421008,1175.0,,,,,,,,0.0,,
,,420510,1192.0,,,,,,,,0.0,,
,,420515,1192.0,,,,,,,,0.0,,
,,420512,1193.0,,,,,,,,0.0,,
,,402147,1196.0,,,,,,,,0.0,,
,,410098,1196.0,,,,,,,,0.0,,
,,410244,1196.0,,,,,,,,0.0,,
,,410688,1196.0,,,,,,,,0.0,,
,,410525,1196.0,,,,,,,,0.0,,
,,410797,1196.0,,,,,,,,0.0,,
,,410808,1196.0,,,,,,,,0.0,,
,,410820,1196.0,,,,,,,,0.0,,
,,411264,1196.0,,,,,,,,0.0,,
,,412630,1196.0,,,,,,,,0.0,,
,,421321,1196.0,,,,,,,,0.0,,
,,401553,1197.0,,,,,,,,0.0,,
,,401895,1197.0,,,,,,,,0.0,,
,,410244,1197.0,,,,,,,,0.0,,
,,411906,1197.0,,,,,,,,0.0,,
,,412630,1197.0,,,,,,,,0.0,,
,,400971,1296.0,,,,,,,,0.0,,
,,401413,1299.0,,,,,,,,0.0,,
,,401413,1301.0,,,,,,,,0.0,,
,,400970,1307.0,,,,,,,,0.0,,
,,401194,1307.0,,,,,,,,0.0,,
,,401334,1307.0,,,,,,,,0.0,,
,,401669,1307.0,,,,,,,,0.0,,
,,401910,1307.0,,,,,,,,0.0,,
,,402138,1307.0,,,,,,,,0.0,,
,,420608,1307.0,,,,,,,,0.0,,
,,421031,1307.0,,,,,,,,0.0,,
,,410279,1320.0,,,,,,,,0.0,,
,,411660,1320.0,,,,,,,,0.0,,
,,401784,1322.0,,,,,,,,0.0,,
,,410280,1322.0,,,,,,,,0.0,,
,,411661,1322.0,,,,,,,,0.0,,
,,401985,1370.0,,,,,,,,0.0,,
,,401628,1538.0,,,,,,,,0.0,,
,,420938,1538.0,,,,,,,,0.0,,
,,401628,1539.0,,,,,,,,0.0,,
,,420938,1539.0,,,,,,,,0.0,,
,,401628,1540.0,,,,,,,,0.0,,
,,420938,1540.0,,,,,,,,0.0,,
,,401260,1569.0,,,,,,,,0.0,,
,,410536,1569.0,,,,,,,,0.0,,
,,401260,1588.0,,,,,,,,0.0,,
,,410536,1588.0,,,,,,,,0.0,,
,,410771,1588.0,,,,,,,,0.0,,
,,401367,1610.0,,,,,,,,0.0,,
,,401587,1626.0,,,,,,,,0.0,,
,,401159,1627.0,,,,,,,,0.0,,
,,401929,1627.0,,,,,,,,0.0,,
,,401263,1644.0,,,,,,,,0.0,,
,,401771,1644.0,,,,,,,,0.0,,
,,401829,1644.0,,,,,,,,0.0,,
,,402074,1644.0,,,,,,,,0.0,,
,,402075,1644.0,,,,,,,,0.0,,
,,410003,1644.0,,,,,,,,0.0,,
,,410412,1644.0,,,,,,,,0.0,,
,,410469,1644.0,,,,,,,,0.0,,
,,410607,1644.0,,,,,,,,0.0,,
,,410710,1644.0,,,,,,,,0.0,,
,,410876,1644.0,,,,,,,,0.0,,
,,411094,1644.0,,,,,,,,0.0,,
,,411220,1644.0,,,,,,,,0.0,,
,,411462,1644.0,,,,,,,,0.0,,
,,400991,1706.0,,,,,,,,0.0,,
,,401111,1706.0,,,,,,,,0.0,,
,,401267,1706.0,,,,,,,,0.0,,
,,401270,1706.0,,,,,,,,0.0,,
,,401454,1706.0,,,,,,,,0.0,,
,,401379,1706.0,,,,,,,,0.0,,
,,401459,1706.0,,,,,,,,0.0,,
,,401517,1706.0,,,,,,,,0.0,,
,,401527,1706.0,,,,,,,,0.0,,
,,401659,1706.0,,,,,,,,0.0,,
,,401637,1706.0,,,,,,,,0.0,,
,,401786,1706.0,,,,,,,,0.0,,
,,401871,1706.0,,,,,,,,0.0,,
,,401937,1706.0,,,,,,,,0.0,,
,,401983,1706.0,,,,,,,,0.0,,
,,401990,1706.0,,,,,,,,0.0,,
,,410025,1706.0,,,,,,,,0.0,,
,,410083,1706.0,,,,,,,,0.0,,
,,410084,1706.0,,,,,,,,0.0,,
,,410096,1706.0,,,,,,,,0.0,,
,,410147,1706.0,,,,,,,,0.0,,
,,410231,1706.0,,,,,,,,0.0,,
,,410234,1706.0,,,,,,,,0.0,,
,,410256,1706.0,,,,,,,,0.0,,
,,410450,1706.0,,,,,,,,0.0,,
,,410537,1706.0,,,,,,,,0.0,,
,,410539,1706.0,,,,,,,,0.0,,
,,410654,1706.0,,,,,,,,0.0,,
,,410655,1706.0,,,,,,,,0.0,,
,,410661,1706.0,,,,,,,,0.0,,
,,410707,1706.0,,,,,,,,0.0,,
,,410954,1706.0,,,,,,,,0.0,,
,,411038,1706.0,,,,,,,,0.0,,
,,411140,1706.0,,,,,,,,0.0,,
,,411176,1706.0,,,,,,,,0.0,,
,,411429,1706.0,,,,,,,,0.0,,
,,411431,1706.0,,,,,,,,0.0,,
,,411628,1706.0,,,,,,,,0.0,,
,,411642,1706.0,,,,,,,,0.0,,
,,411814,1706.0,,,,,,,,0.0,,
,,411921,1706.0,,,,,,,,0.0,,
,,412058,1706.0,,,,,,,,0.0,,
,,412060,1706.0,,,,,,,,0.0,,
,,412066,1706.0,,,,,,,,0.0,,
,,412059,1706.0,,,,,,,,0.0,,
,,412176,1706.0,,,,,,,,0.0,,
,,412177,1706.0,,,,,,,,0.0,,
,,412237,1706.0,,,,,,,,0.0,,
,,411179,1706.0,,,,,,,,0.0,,
,,412578,1706.0,,,,,,,,0.0,,
,,420069,1706.0,,,,,,,,0.0,,
,,420061,1706.0,,,,,,,,0.0,,
,,421172,1706.0,,,,,,,,0.0,,
,,420197,1706.0,,,,,,,,0.0,,
,,420279,1706.0,,,,,,,,0.0,,
,,421334,1706.0,,,,,,,,0.0,,
,,420299,1706.0,,,,,,,,0.0,,
,,420542,1706.0,,,,,,,,0.0,,
,,420548,1706.0,,,,,,,,0.0,,
,,420551,1706.0,,,,,,,,0.0,,
,,420572,1706.0,,,,,,,,0.0,,
,,420799,1706.0,,,,,,,,0.0,,
,,420746,1706.0,,,,,,,,0.0,,
,,420941,1706.0,,,,,,,,0.0,,
,,420953,1706.0,,,,,,,,0.0,,
,,420978,1706.0,,,,,,,,0.0,,
,,421205,1706.0,,,,,,,,0.0,,
,,421373,1706.0,,,,,,,,0.0,,
,,421382,1706.0,,,,,,,,0.0,,
,,421438,1706.0,,,,,,,,0.0,,
,,401586,1707.0,,,,,,,,0.0,,
,,410386,1707.0,,,,,,,,0.0,,
,,401586,1708.0,,,,,,,,0.0,,
,,410386,1708.0,,,,,,,,0.0,,
,,401251,1726.0,,,,,,,,0.0,,
,,401565,1726.0,,,,,,,,0.0,,
,,401159,1760.0,,,,,,,,0.0,,
,,401929,1760.0,,,,,,,,0.0,,
,,402086,1760.0,,,,,,,,0.0,,
,,410512,1760.0,,,,,,,,0.0,,
,,401177,1810.0,,,,,,,,0.0,,
,,401708,1810.0,,,,,,,,0.0,,
,,401709,1810.0,,,,,,,,0.0,,
,,402076,1810.0,,,,,,,,0.0,,
,,402077,1810.0,,,,,,,,0.0,,
,,410292,1810.0,,,,,,,,0.0,,
,,411221,1810.0,,,,,,,,0.0,,
,,411222,1810.0,,,,,,,,0.0,,
,,411562,1810.0,,,,,,,,0.0,,
,,411563,1810.0,,,,,,,,0.0,,
,,411564,1810.0,,,,,,,,0.0,,
,,411565,1810.0,,,,,,,,0.0,,
,,412431,1810.0,,,,,,,,0.0,,
,,412570,1810.0,,,,,,,,0.0,,
,,420717,1810.0,,,,,,,,0.0,,
,,420955,1810.0,,,,,,,,0.0,,
,,421105,1810.0,,,,,,,,0.0,,
,,421444,1810.0,,,,,,,,0.0,,
,,401177,1811.0,,,,,,,,0.0,,
,,401708,1811.0,,,,,,,,0.0,,
