Item,Job #
343,380406
343,380776
343,380789
343,381046
344,371100
344,381066
344,391844
344,410655
345,371100
345,381066
345,391844
345,392155
345,410655
346,371100
346,381066
346,391844
346,410655
347,380048
347,380144
347,371105
347,380311
347,380238
347,380471
348,380048
348,380144
348,371105
348,380311
348,380238
348,380471
349,380048
349,380144
349,371105
349,380311
349,380238
349,380471
350,380311
350,380048
350,371105
350,380238
351,380048
351,371105
351,380311
351,380238
352,380048
352,371105
352,380311
352,380238
353,371105
353,380311
353,380238
353,380656
353,380471
353,381269
353,381398
353,381741
353,390105
353,390369
353,390571
353,391394
354,371105
354,380311
354,380238
354,380656
354,380471
354,381269
354,381398
354,381741
354,390105
354,390369
354,390571
354,390901
354,391394
355,371105
355,380311
355,380238
355,380656
355,380471
355,381269
355,381398
355,381741
355,390105
355,390369
355,390571
355,391394
356,380048
356,380144
356,371105
356,380311
356,380238
356,380471
357,380048
357,380144
357,371105
357,380311
357,380238
357,380471
358,371105
358,380238
358,381398
358,381741
358,390105
358,390369
358,390571
359,371105
359,380238
359,381080
359,381398
359,381741
359,390105
359,390369
359,390571
360,371105
361,371105
362,371105
362,380311
363,380147
363,371103
363,380222
363,380322
363,380461
364,380147
364,371103
364,380222
364,380322
364,380461
365,380047
365,380147
365,371103
365,380222
365,380322
365,380461
366,380047
366,380147
366,371103
366,380222
366,380322
366,380461
367,380047
367,380147
367,371103
367,380222
367,380322
367,380461
368,380047
368,380147
368,371103
368,380322
369,380047
369,380147
369,371103
369,380322
370,380047
370,380147
370,371103
370,380322
371,380047
371,371103
371,380222
371,380322
371,380461
372,380047
372,371103
372,380222
372,380322
372,380461
373,380147
373,371103
373,380894
374,380147
374,371103
374,380894
375,380047
375,380147
375,371103
375,380222
375,380650
375,380894
375,381283
376,380143
376,380050
376,380239
376,380317
376,371108
376,380459
376,380651
376,380893
376,381070
376,381256
376,381395
377,380143
377,380050
377,380239
377,380317
377,371108
377,380459
377,380651
377,380893
377,381070
377,381080
377,381256
377,381395
379,380143
379,380050
379,380239
379,380317
379,371108
379,380459
379,380651
379,380893
379,381070
379,381256
379,381395
380,371108
380,380651
381,371108
381,380651
382,371108
383,380143
383,380239
383,371108
383,380459
383,380651
383,380893
383,381070
383,381256
384,380143
384,380239
384,371108
384,380459
384,380651
384,380893
384,381070
384,381256
385,380143
385,380050
385,380317
385,371108
385,381256
386,380143
386,380050
386,380317
386,371108
386,381256
388,380143
388,380317
388,371108
388,381256
389,380143
389,380317
389,371108
389,381256
390,380143
390,380317
390,381256
391,380143
391,380050
391,380239
391,380317
391,371108
391,380459
391,380893
